Index,avg_price_per_kg
1,-362856807.36602384
2,2535431134.7940087
3,-362856807.5271361
4,2535431133.9717
5,2535431133.8153467
6,-2609540523.440757
7,-511465016.35757077
8,2535431134.0188627
9,2535431133.960151
10,2535431134.180776
11,-1638856435.2890346
12,-2609540522.816019
13,2535431134.341028
14,-1638856435.6954708
15,-1638856436.2256978
16,-1638856435.301131
17,-7157488913.393255
18,-1638856435.7069244
19,2535431135.306723
20,-1638856435.093682
21,-1638856435.401947
22,-2609540523.281376
23,-1638856435.024766
24,-1638856434.784866
25,-1638856435.6902275
26,-362856808.9141314
27,-362856808.2107423
28,2535431133.91139
29,2535431133.633227
30,2535431133.398822
31,2535431134.148639
32,-511465015.9567864
33,2535431134.6340704
34,2535431133.8342
35,-2609540523.2421527
36,2535431134.50373
37,2535431135.023511
38,2535431135.106559
39,-511465015.5426733
40,2535431133.4807215
41,2535431134.259965
42,2535431133.9794827
43,2535431133.859669
44,-1638856435.3975148
45,-1638856435.7345202
46,-1638856435.4232378
47,-2609540523.017179
48,-1638856435.260743
49,-1638856435.1858842
50,-2609540523.273262
51,-2609540524.540078
52,-1638856435.2986484
53,2535431133.3944116
54,2535431136.1189218
55,-362856808.1343614
56,2535431133.473387
57,-362856807.6007989
58,2535431134.286727
59,2535431134.074094
60,-3767631639.2837253
61,2535431133.649118
62,2535431134.664946
63,-1638856435.6713371
64,2535431134.2566624
65,2535431133.85693
66,-511465015.6973747
67,-1638856435.2340379
68,-1638856435.8151014
69,-2609540522.934299
70,2535431133.3029966
71,2535431133.3140283
72,-1638856435.5363283
73,-362856809.4565343
74,-362856808.766376
75,-1638856435.0437233
76,-1638856435.4386933
77,-1638856435.308859
78,2535431134.5669565
79,2535431134.6764874
80,-1638856435.1778095
81,2535431133.3329654
82,-2609540523.155573
83,-1638856435.3087528
84,-1638856435.7381933
85,-1638856437.1919508
86,2535431133.135634
87,-362856807.9782973
88,2535431134.7253413
89,-511465016.354534
90,-1638856435.194622
91,-3767631639.046927
92,2535431134.648041
93,-362856808.43708295
94,-511465015.5966527
95,-362856808.8077939
96,-1638856434.9764006
97,2535431133.8667846
98,2535431133.9334116
99,-1638856435.0034409
100,-1638856435.4905515
101,2535431134.9200397
102,-1638856435.0124235
103,-3280805952.471221
104,2535431133.691908
105,2535431133.486383
106,2535431134.172225
107,-362856808.03279275
108,-511465015.9813828
109,-362856807.7087939
110,-2609540523.162049
111,-1638856435.706693
112,-1638856434.7418423
113,-1638856435.6229472
114,-362856809.16545
115,-362856808.0909875
116,-362856807.7021667
117,-362856808.8242867
118,2535431135.108183
119,-1638856435.763467
120,2535431133.5589046
121,-1638856435.4261184
122,-362856809.20964813
123,-362856807.53769386
124,-2609540523.4531116
125,2535431134.091562
126,2535431133.5703073
127,-1638856435.3074963
