Index,avg_price_per_kg
1,10.929026
2,12.193294
3,10.027492
4,8.641409
5,7.993608
6,4.650715
7,3.6409047
8,7.656685
9,8.621697
10,9.559533
11,4.9217806
12,5.6960115
13,8.195594
14,4.486723
15,4.5576067
16,6.0657663
17,7.530924
18,4.383514
19,10.896572
20,6.5684114
21,6.3277664
22,4.8324776
23,5.8635616
24,7.7816105
25,5.5890155
26,6.1122894
27,7.4725823
28,7.8035355
29,7.5000477
30,7.140775
31,7.798854
32,5.5649066
33,9.576977
34,7.6521206
35,4.8709345
36,9.83133
37,10.89556
38,11.363141
39,6.118455
40,6.523142
41,8.561657
42,8.070226
43,4.920038
44,6.181734
45,5.5628757
46,4.9631634
47,4.9981346
48,5.534689
49,6.0815573
50,5.2961698
51,1.3733367
52,6.522626
53,5.6535254
54,14.117301
55,8.852716
56,5.6178565
57,12.170957
58,8.508137
59,8.08138
60,6.074994
61,8.701382
62,11.295995
63,6.2706137
64,9.065243
65,5.848423
66,6.286476
67,6.6647367
68,4.565831
69,5.49677
70,7.1919637
71,5.270119
72,4.334045
73,2.8997638
74,8.001099
75,6.872557
76,4.5543947
77,6.133342
78,9.314988
79,11.045986
80,6.3096676
81,5.2794766
82,4.9484544
83,5.899723
84,5.5655
85,1.0933322
86,5.8213825
87,7.7344484
88,11.59148
89,4.11795
90,6.8420234
91,9.387897
92,9.798699
93,7.9052143
94,6.326156
95,6.0027084
96,6.7287145
97,8.752889
98,8.9055605
99,6.910468
100,5.5818515
101,11.553638
102,6.2855673
103,5.77456
104,7.6702757
105,6.9459944
106,8.481401
107,8.126807
108,2.730075
109,10.064324
110,4.999973
111,4.2019677
112,7.8192134
113,6.1061997
114,4.238037
115,6.564227
116,9.980941
117,5.281313
118,10.134261
119,4.440285
120,6.842754
121,5.950115
122,4.0869417
123,9.968081
124,4.5970073
125,8.844897
126,7.2802463
127,4.394567
128,9.043307
129,9.70226
130,5.700311
131,7.610576
132,5.8220797
133,9.013423
134,8.59664
135,1.250418
136,6.1270914
137,7.808948
138,7.3464394
139,7.896754
140,5.5942364
141,7.936008
142,5.4615507
143,8.847533
144,5.406767
145,8.839343
146,6.588548
147,5.6600933
148,8.186294
149,5.528952
150,8.581468
151,9.965521
152,7.9087553
153,5.365694
154,8.243873
155,6.9746847
156,11.337228
157,5.549353
158,4.4695625
159,5.9782233
160,6.103592
161,7.9822483
162,9.717349
163,7.36679
164,8.303836
165,7.479104
166,8.019606
167,8.071265
168,6.7116065
169,5.0015755
170,7.8101673
171,8.870539
172,6.2168484
173,5.134017
174,12.071084
175,5.9412656
176,4.798887
177,7.5824647
178,5.45236
179,5.926552
180,7.4811397
181,5.049485
182,0.36604157
183,10.80762
184,7.196955
185,6.949453
186,0.4286984
187,5.809716
188,9.706475
189,6.1766253
190,5.4689326
191,5.5897512
192,9.25716
193,5.0444827
194,4.540485
195,9.89794
196,8.079934
197,9.316338
198,7.010121
199,5.999727
200,7.604319
201,7.715415
202,3.2949839
203,8.056946
204,1.5031402
205,6.330976
206,4.319526
207,8.250502
208,7.7816105
209,7.8064265
210,8.3153715
211,7.3264303
212,12.66764
213,5.821488
214,5.240151
215,9.520601
216,5.654623
217,5.856273
218,5.64565
219,10.232961
220,7.893755
221,5.7545924
222,5.1916437
223,8.811716
224,11.045503
225,12.310082
226,6.8710246
227,5.7516274
228,5.4633694
229,9.2937565
230,5.4934
231,4.9546275
232,10.517219
233,7.6448107
234,5.4331155
235,6.716685
236,6.074103
237,9.249337
238,8.818257
239,3.872448
240,5.8781543
241,4.446847
242,5.202974
243,6.4083486
244,8.069461
245,10.672188
246,6.9250746
247,6.117185
248,7.722485
249,5.113674
250,9.534649
251,8.393488
252,9.601602
253,4.4230084
254,4.656602
255,6.5816565
256,4.59654
257,7.005575
258,8.623312
259,8.959619
260,8.597381
261,10.623517
262,10.893561
263,6.2411513
264,5.948073
265,5.086659
266,7.1241517
267,4.699132
268,6.328528
269,4.7897134
270,6.586266
271,8.303545
272,6.8714356
273,11.110081
274,1.6259555
275,7.709515
276,10.012395
277,5.1805515
278,6.580162
279,5.9999137
280,8.270618
281,4.9580812
282,6.1255054
283,6.2442603
284,4.4250765
285,9.526481
286,4.622187
287,5.7699757
288,5.25903
289,8.390392
290,7.9706984
291,6.1708803
292,5.755022
293,5.7458673
294,1.2484046
295,6.5052795
296,6.9393535
297,8.342839
298,8.610046
299,7.7341003
300,6.949977
301,5.4876757
302,5.929201
303,4.311047
304,6.0876503
305,8.750486
306,9.376231
307,5.8479404
308,4.2699633
309,8.292489
310,6.073081
311,6.109591
312,6.6674385
313,5.1021676
314,8.630527
315,10.7328205
316,8.687873
317,6.020342
318,5.5988016
319,5.8623676
320,6.5393376
321,6.156638
322,6.6259995
323,4.3996835
324,7.821526
325,5.002716
326,3.8904524
327,7.2866793
328,5.8964853
329,10.813687
330,7.428108
331,5.4755287
332,4.538473
333,8.8728895
334,6.0880165
335,8.369833
336,8.104861
337,7.9065747
338,6.615727
339,7.708923
340,4.625392
341,6.6778955
342,5.6677504
343,9.168103
344,6.999639
345,9.632579
346,7.0491123
347,9.176559
348,5.15873
349,8.301341
350,8.281418
351,7.4462976
352,9.8205
353,7.6497717
354,9.718388
355,6.3322573
356,6.679798
357,5.8053946
358,8.936888
359,8.37625
360,8.360178
361,6.4329805
362,6.5654545
363,7.094673
364,9.221728
365,5.28812
366,6.8644075
367,7.632322
368,7.5124803
369,5.393377
370,8.695738
371,4.503149
372,6.612878
373,6.164231
374,9.261387
375,6.3939996
376,6.9138355
377,4.762738
378,6.517351
379,7.6497717
380,6.8904104
381,7.057079
382,7.066516
383,7.0616174
384,6.821965
385,2.3355246
386,7.6562433
387,5.856093
388,8.057112
389,3.4866254
390,9.142838
391,6.663331
392,6.1825185
393,9.310723
394,9.249476
395,1.2641402
396,8.636666
397,6.629668
398,7.369895
399,7.403766
400,6.596485
401,5.7906756
402,3.2757177
403,10.729883
404,5.9441395
405,5.2879357
406,9.721669
407,4.6377487
408,7.34165
409,4.668756
410,9.911098
411,9.906503
412,4.238037
413,6.0353794
414,8.385957
415,9.463432
416,4.812914
417,8.34148
418,5.26618
419,9.934112
420,6.7658973
421,3.4658008
422,4.753921
423,7.5223374
424,4.887564
425,6.5088916
426,9.424017
427,8.341188
428,7.696601
429,8.73291
430,6.3492503
431,10.055094
432,8.051232
433,7.6478467
434,10.739773
435,6.7961626
436,7.8908362
437,4.5412784
438,5.4747243
439,5.8453507
440,5.9550357
441,7.816674
442,6.093814
443,10.020963
444,9.852393
445,9.196274
446,10.4902115
447,7.8170733
448,8.320388
449,8.4473095
450,8.736487
451,9.9482765
452,7.013675
453,9.227675
454,8.183145
455,6.583047
456,8.079147
457,8.074445
458,8.465357
459,4.4398017
460,7.5118623
461,4.8829317
462,8.864693
463,5.6737657
464,5.6145644
465,8.439856
466,4.227103
467,4.6023393
468,7.4782786
469,5.659603
470,8.705499
471,7.776309
472,8.145199
473,5.506286
474,5.2163424
475,5.5002933
476,10.045419
477,9.941475
478,4.1254826
479,6.551797
480,5.558938
481,4.6744804
482,7.655852
483,4.60081
484,3.3436332
485,8.48766
486,7.319909
487,8.258575
488,3.2579303
489,2.769714
490,4.1184955
491,5.730442
492,7.275682
493,7.642811
494,7.915413
495,10.16677
496,6.8036513
497,4.6589446
498,8.483614
499,8.288654
500,9.336149
501,9.771833
502,12.132257
503,8.63896
504,9.051466
505,8.213346
506,9.93083
507,7.3282566
508,6.623329
509,6.9821754
510,5.1857033
511,8.481401
512,7.186959
513,6.0714707
514,4.446847
515,7.6800056
516,8.552919
517,7.8183002
518,6.233805
519,7.431486
520,4.9935794
521,9.217761
522,4.341909
523,5.8503866
524,6.365946
525,7.0761437
526,8.423717
527,7.6448107
528,2.9998214
529,4.4398017
530,9.9430065
531,9.782312
532,5.1659765
533,8.636971
534,7.4309363
535,9.10474
536,8.481401
537,7.021537
538,5.5866513
539,6.309166
540,8.420771
541,8.565593
542,4.8031406
543,7.397502
544,9.404687
545,7.685058
546,6.1967583
547,7.8611426
548,6.3581157
549,4.5770164
550,6.223031
551,4.9454436
552,6.0208993
553,6.211907
554,4.8997173
555,5.5684123
556,4.9116797
557,10.034538
558,6.312328
559,5.1008687
560,5.9493136
561,8.801103
562,4.706374
563,5.5468006
564,5.7194047
565,7.317574
566,4.268758
567,9.373919
568,7.715415
569,9.032683
570,8.819833
571,4.622187
572,5.992903
573,8.962198
574,8.02683
575,5.0335765
576,5.9499874
577,6.1006207
578,3.39615
579,7.6834507
580,10.610574
581,5.5593467
582,5.1796923
583,3.162587
584,7.0500097
585,8.859273
586,8.193257
587,6.5718746
588,13.386705
589,6.7314386
590,7.517262
591,8.371525
592,6.8069897
593,6.140285
594,6.218047
595,7.154008
596,6.295301
597,6.4041533
598,6.4473615
599,7.3635554
600,5.53931
601,6.5610037
602,7.5216417
603,10.713869
604,8.696872
605,7.359815
606,2.2183518
607,8.095477
608,4.170298
609,8.270378
610,8.966402
611,8.764733
612,8.3349085
613,7.5223403
614,4.504749
615,10.76881
616,5.6125336
617,6.167636
618,13.231579
619,5.519889
620,7.6624923
621,4.688039
622,11.161725
623,8.139893
624,5.587392
625,6.207846
626,4.920038
627,6.148745
628,4.5132327
629,7.0075855
630,6.2238297
631,6.134625
632,6.8252935
633,5.659638
634,5.511991
635,7.2202835
636,6.097273
637,9.019862
638,5.7740693
639,4.4965262
640,8.072247
641,6.493203
642,5.2059116
643,8.48766
644,4.4760337
645,10.920457
646,6.9534545
647,6.5608864
648,4.6754737
649,9.655988
650,7.4654446
651,5.98371
652,7.2683578
653,5.9899864
654,8.657277
655,4.318525
656,7.632322
657,4.3100243
658,4.396059
659,5.175491
660,9.327892
661,6.32168
662,6.9478903
663,6.1078353
664,1.5586445
665,10.815659
666,8.209448
667,7.3388214
668,4.7269616
669,11.363141
670,6.6344495
671,9.809359
672,5.393116
673,4.773573
674,7.333133
675,11.105527
676,10.478106
677,6.3951893
678,5.7423787
679,7.3844395
680,2.2219849
681,3.2797396
682,10.080245
683,6.155669
684,7.314027
685,7.6314464
